 klimnr period   jan    feb    mar    apr    maj    jun    jul    aug    sep    okt    nov    dec   year
  17398  6190   29.9   25.2   24.4   22.6   25.8   45.3   56.8   60.0   50.3   44.1   37.8   31.6  453.9
  17792  6190   46.4   35.5   25.6   25.5   26.6   30.9   64.8   60.3   47.0   47.6   43.9   56.1  510.1
  17793  6190   37.0   31.0   26.0   24.0   26.0   32.0   63.0   54.0   41.0   41.0   41.0   44.0  460.0
  17874  6190   40.7   33.7   33.4   32.8   42.2   54.5   98.6   93.4   79.5   62.0   55.9   43.8  670.5
  17879  6190   29.3   26.5   26.8   27.0   35.1   48.8   87.1   77.9   57.0   51.4   41.7   34.3  543.2
  17974  6190   30.1   23.0   25.2   26.9   34.2   47.6   87.8   69.6   48.1   45.1   39.5   32.8  509.8
  17994  6190   26.4   22.9   24.1   27.2   32.3   41.5   81.0   67.9   43.7   42.8   37.5   30.1  477.6
  17995  6190   30.1   23.0   26.2   26.0   30.5   46.1   81.6   63.7   49.7   44.9   39.7   31.9  494.4
  17996  6190   30.6   23.5   25.5   27.4   29.2   41.2   76.7   65.2   45.7   43.3   39.7   32.1  480.1
  18001  6190   26.9   22.4   22.4   23.6   31.0   46.6   82.7   67.0   47.6   41.2   37.8   28.8  478.0
  18071  6190   33.8   29.0   30.0   28.0   35.7   50.9   78.9   78.7   53.3   50.8   47.9   40.0  557.1
  18073  6190   33.8   27.2   27.8   28.3   36.2   50.7   80.1   77.3   55.4   48.8   47.2   38.2  550.9
  18075  6190   31.1   28.5   28.4   26.6   32.2   48.1   75.3   71.8   47.5   47.7   45.9   36.1  519.2
  18076  6190   29.4   26.1   25.6   24.9   31.1   46.0   73.4   68.1   46.0   44.2   42.0   33.5  490.4
  18077  6190   25.5   22.2   22.0   21.5   27.8   40.3   66.3   60.1   41.3   38.6   35.9   29.1  430.7
  18078  6190   32.1   26.8   26.2   25.9   32.7   46.4   81.5   74.9   51.0   46.6   43.9   38.2  527.5
  18086  6190   21.4   18.6   19.6   22.0   32.2   45.7   78.5   70.0   44.8   34.9   32.9   27.2  448.4
  18094  6190   26.4   22.1   23.8   25.5   32.6   51.2   86.4   68.3   44.7   41.1   37.1   29.8  489.9
  18096  6190   30.1   25.4   26.2   26.9   33.6   48.5   86.1   73.6   49.3   47.0   41.5   34.0  522.1
  18172  6190   30.4   25.5   25.6   25.5   31.2   45.8   68.6   67.8   49.7   46.5   42.9   33.3  492.7
  18174  6190   30.4   25.1   25.8   26.0   31.7   46.9   69.2   69.6   51.3   47.6   43.3   33.2  500.1
  18177  6190   32.5   26.3   25.8   27.8   34.0   47.0   63.9   74.8   51.5   47.1   46.8   35.8  513.0
  18183  6190   30.5   25.6   26.4   28.3   35.2   49.9   82.0   70.2   50.2   48.2   44.1   32.3  522.9
  18185  6190   30.0   25.1   25.3   26.9   34.0   51.3   76.4   74.8   52.1   48.1   43.7   33.2  519.3
  18189  6190   24.3   21.1   21.2   25.3   32.3   49.5   82.5   71.1   44.6   41.9   36.9   27.9  478.5
  18190  6190   23.6   20.8   20.2   20.7   31.5   50.0   76.4   68.3   44.7   40.1   35.0   26.7  457.8
  18197  6190   29.2   23.7   25.6   22.6   26.6   44.4   81.9   67.6   51.3   50.3   44.4   32.3  499.9
  18272  6190   33.4   29.1   32.7   32.1   36.5   52.0   73.3   70.2   55.6   55.3   50.0   38.5  558.8
  18274  6190   30.0   24.4   24.2   25.6   31.9   48.4   64.4   67.6   51.2   46.1   41.3   32.5  487.4
  18280  6190   30.7   25.2   27.1   27.7   34.1   48.3   70.6   75.9   54.9   49.7   46.8   34.5  523.1
  18281  6190   26.9   22.3   23.3   23.8   29.1   42.6   61.9   64.8   46.9   43.0   39.6   29.9  454.0
