Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
63510;Ljungby A;56.8525;13.8794;148.485;Ja
63500;Ljungby D;56.8099;13.9694;155;Ja
63050;Ljungbyhed;56.0752;13.2318;43;Nej
122510;Ljungdalen;62.8543;12.807;615;Nej
81130;Ljungskile;58.2159;11.9321;70;Nej
126460;Ljungå;62.7594;16.3141;220;Nej
106090;Ljusbäck;60.155;16.8595;60;Nej
116500;Ljusdal;61.8333;16.1333;140;Nej
126120;Ljusdals-Valsjön;62.195;16.0367;300;Ja
117130;Ljusne Strömmar;61.2116;17.0852;10;Nej
122330;Ljusnedal;62.5493;12.6043;585;Ja
115320;Lobonäs D;61.5338;15.3444;220;Ja
123070;Lofsdalen;62.1132;13.2841;610;Nej
76540;Loftahammar;57.9038;16.6962;3;Nej
74530;Lommaryd;57.8887;14.7342;240;Nej
115450;Los D;61.7256;15.1783;406;Ja
62150;Louisefred;56.242;12.5778;12;Ja
105100;Ludvika;60.1383;15.1782;161.32;Ja
162860;Luleå Flygplats;65.5434;22.1193;17;Ja
162870;Luleå-Bergnäset;65.5746;22.11;12.156;Ja
78440;Lummelunda;57.7409;18.4347;50;Nej
53430;Lund;55.6932;13.2251;26.451;Ja
94300;Lundsberg;59.4996;14.1635;120;Nej
134310;Lundsjön;63.5195;14.5261;410;Ja
136720;Lungsjöbacken;63.4666;16.2666;320;Nej
128390;Lungö A;62.6417;18.0899;14.325;Ja
83460;Lurö;58.8;13.25;55;Nej
65120;Lyckeby;56.2141;15.7106;20;Ja
148330;Lycksele A;64.5481;18.713;210.07;Ja
97240;Lyckås;59.4;17.6666;15;Nej
53350;Lyngby;55.5833;13.3666;50;Nej
81170;Lysekil D;58.2712;11.4292;29.509;Ja
83130;Längjum;58.2212;13.0607;95;Nej
137110;Lännäs;63.1663;17.6543;30;Nej
64370;Länshult;56.6083;14.0665;160;Nej
134270;Långan D;63.4547;14.4833;296.574;Ja
63350;Långhult;56.585;13.4582;175;Nej
106280;Långshyttan D;60.4612;16.062;110;Ja
124050;Långströmmen;62.1166;15;280;Nej
159760;Långträsk D;65.1941;19.2447;306.229;Nej
156730;Långvattnet;65.1049;16.6919;420;Nej
127140;Lörudden;62.2314;17.6623;2;Nej
112020;Löten D;61.0255;12.8399;425;Ja
76080;Löttorp D;57.1553;16.9472;6.489;Ja
135580;Lövberga D;63.9673;15.8437;281.703;Ja
53400;Lövestad;55.6429;13.8916;76.564;Ja
158970;Lövlund;65.9075;18.1507;480;Nej
113210;Lövnäs;61.3445;13.3578;445;Nej
134450;Lövsjön;63.75;14.7166;310;Nej
107250;Lövsta;60.4086;17.884;25;Nej
106420;Lövåker;60.684;16.3513;150;Nej
151220;Lövånger;64.4083;21.2906;25;Ja
63300;Majenfors;56.4969;13.4557;80;Nej
